Assembly Accession	Organism Name	Organism Taxonomic ID	Assembly BioSample Strain 	Assembly Level	Assembly Type	Assembly Stats Number of Contigs
GCF_024760365.1	Mesomycoplasma hyorhinis	2100	4453J21c	Complete Genome	haploid	1
GCF_024760385.1	Mesomycoplasma hyorhinis	2100	4455N20c	Complete Genome	haploid	1
GCF_024760405.1	Mesomycoplasma hyorhinis	2100	N36N21c	Complete Genome	haploid	1
GCF_900476065.1	Mesomycoplasma hyorhinis	2100	NCTC10130	Complete Genome	haploid	1
GCF_900660475.1	Mesomycoplasma hyorhinis	2100	NCTC10121	Complete Genome	haploid	3
GCF_000496815.1	Mesomycoplasma hyorhinis DBS 1050	634997	DBS 1050	Complete Genome	haploid	1
GCF_000241125.1	Mesomycoplasma hyorhinis GDL-1	1129369	GDL-1	Complete Genome	haploid	1
GCF_000145705.1	Mesomycoplasma hyorhinis HUB-1	872331	HUB-1	Complete Genome	haploid	1
GCF_000211295.1	Mesomycoplasma hyorhinis MCLD	936139	MCLD	Complete Genome	haploid	1
GCF_000313635.1	Mesomycoplasma hyorhinis SK76	1118964	SK76	Complete Genome	haploid	1
GCF_029854295.1	Mesomycoplasma lagogenitalium	171286	12MS	Complete Genome	haploid	1
GCF_024918955.1	Mesomycoplasma molare	171288	H 542	Complete Genome	haploid	1
GCF_900660485.1	Mesomycoplasma neurolyticum	2120	NCTC10166	Complete Genome	haploid	4
GCF_024758565.1	Mesomycoplasma ovipneumoniae	29562	274	Complete Genome	haploid	1
GCF_024758585.1	Mesomycoplasma ovipneumoniae	29562	150	Complete Genome	haploid	1
GCF_030012565.1	Mesomycoplasma ovipneumoniae	29562	NXNK2203	Complete Genome	haploid	1
GCF_032080685.1	Mesomycoplasma ovipneumoniae	29562	MoG2059N20A	Complete Genome	haploid	1
GCF_032082925.1	Mesomycoplasma ovipneumoniae	29562	MoG225L22A	Complete Genome	haploid	1
GCF_032084765.1	Mesomycoplasma ovipneumoniae	29562	MoC2605L17A	Complete Genome	haploid	1
GCF_032086715.1	Mesomycoplasma ovipneumoniae	29562	MoS932N22A	Complete Genome	haploid	1
GCF_032088955.1	Mesomycoplasma ovipneumoniae	29562	MoS3261N22A	Complete Genome	haploid	1
GCF_032092195.1	Mesomycoplasma ovipneumoniae	29562	MoS5669_1L18I	Complete Genome	haploid	1
GCF_035918255.1	Mesomycoplasma ovipneumoniae	29562	GH 3-3	Complete Genome	haploid	1
GCF_038095615.1	Mesomycoplasma ovipneumoniae	29562	CHIAS_Crony	Complete Genome	haploid	1
GCF_038095625.1	Mesomycoplasma ovipneumoniae	29562	CHIF5_ANC4221	Complete Genome	haploid	1
GCF_038095635.1	Mesomycoplasma ovipneumoniae	29562	CHIF6_MARM	Complete Genome	haploid	1
GCF_038095645.1	Mesomycoplasma ovipneumoniae	29562	CHIF7_DAIS	Complete Genome	haploid	1
GCF_038095665.1	Mesomycoplasma ovipneumoniae	29562	OARF1_080	Complete Genome	haploid	1
GCF_038095675.1	Mesomycoplasma ovipneumoniae	29562	OARF1_082	Complete Genome	haploid	1
GCF_038095685.1	Mesomycoplasma ovipneumoniae	29562	OARF1_091	Complete Genome	haploid	1
GCF_038095695.1	Mesomycoplasma ovipneumoniae	29562	OARF1_094	Complete Genome	haploid	1
GCF_038095705.1	Mesomycoplasma ovipneumoniae	29562	OARF1_095	Complete Genome	haploid	1
GCF_038095715.1	Mesomycoplasma ovipneumoniae	29562	OARF1_101	Complete Genome	haploid	1
GCF_038095725.1	Mesomycoplasma ovipneumoniae	29562	OARF1_102	Complete Genome	haploid	1
GCF_038095735.1	Mesomycoplasma ovipneumoniae	29562	OARF1_104	Complete Genome	haploid	1
GCF_038095745.1	Mesomycoplasma ovipneumoniae	29562	OARF1_105	Complete Genome	haploid	1
GCF_038095755.1	Mesomycoplasma ovipneumoniae	29562	OARF1_110	Complete Genome	haploid	1
GCF_038095765.1	Mesomycoplasma ovipneumoniae	29562	OARF2_117	Complete Genome	haploid	1
GCF_038095775.1	Mesomycoplasma ovipneumoniae	29562	OARF2_122	Complete Genome	haploid	1
GCF_038095785.1	Mesomycoplasma ovipneumoniae	29562	OARF2_128	Complete Genome	haploid	1
GCF_038095795.1	Mesomycoplasma ovipneumoniae	29562	OARF3_004	Complete Genome	haploid	1
GCF_038095805.1	Mesomycoplasma ovipneumoniae	29562	OARF3_009	Complete Genome	haploid	1
GCF_038095815.1	Mesomycoplasma ovipneumoniae	29562	OARF3_010	Complete Genome	haploid	1
GCF_038095825.1	Mesomycoplasma ovipneumoniae	29562	OARF3_011	Complete Genome	haploid	1
GCF_038095835.1	Mesomycoplasma ovipneumoniae	29562	OARF3_014	Complete Genome	haploid	1
GCF_038095845.1	Mesomycoplasma ovipneumoniae	29562	OARF3_018	Complete Genome	haploid	1
GCF_038095855.1	Mesomycoplasma ovipneumoniae	29562	OARF3_020	Complete Genome	haploid	1
GCF_038095865.1	Mesomycoplasma ovipneumoniae	29562	OARF3_021	Complete Genome	haploid	1
GCF_038095875.1	Mesomycoplasma ovipneumoniae	29562	OARF3_022	Complete Genome	haploid	1
GCF_038095885.1	Mesomycoplasma ovipneumoniae	29562	OARF3_023	Complete Genome	haploid	1
GCF_038095895.1	Mesomycoplasma ovipneumoniae	29562	OARF3_026	Complete Genome	haploid	1
GCF_038095905.1	Mesomycoplasma ovipneumoniae	29562	OARF3_062	Complete Genome	haploid	1
GCF_038095915.1	Mesomycoplasma ovipneumoniae	29562	OARF3_065	Complete Genome	haploid	1
GCF_038095925.1	Mesomycoplasma ovipneumoniae	29562	OARF4_W2044	Complete Genome	haploid	1
GCF_038095935.1	Mesomycoplasma ovipneumoniae	29562	OCAAI_16493	Complete Genome	haploid	1
GCF_038095945.1	Mesomycoplasma ovipneumoniae	29562	OCABB_370144	Complete Genome	haploid	1
GCF_038095955.1	Mesomycoplasma ovipneumoniae	29562	OCAFR_370127	Complete Genome	haploid	1
GCF_038095965.1	Mesomycoplasma ovipneumoniae	29562	OCAHG_370153	Complete Genome	haploid	1
GCF_038095975.1	Mesomycoplasma ovipneumoniae	29562	OCALO_20LO68	Complete Genome	haploid	1
GCF_038095995.1	Mesomycoplasma ovipneumoniae	29562	OCALR_180784SP4	Complete Genome	haploid	1
GCF_038096005.1	Mesomycoplasma ovipneumoniae	29562	OCARG_26	Complete Genome	haploid	1
GCF_038096015.1	Mesomycoplasma ovipneumoniae	29562	OCARG_27	Complete Genome	haploid	1
GCF_038096025.1	Mesomycoplasma ovipneumoniae	29562	OCARG_36	Complete Genome	haploid	1
GCF_038096035.1	Mesomycoplasma ovipneumoniae	29562	OCARG_41	Complete Genome	haploid	1
GCF_038096055.1	Mesomycoplasma ovipneumoniae	29562	OCAWY_21255	Complete Genome	haploid	1
GCF_038096065.1	Mesomycoplasma ovipneumoniae	29562	RTANC_4336	Complete Genome	haploid	1
GCF_028885435.1	Mesomycoplasma ovipneumoniae ATCC 29419	743968	Y98	Complete Genome	haploid	1
GCF_002290085.1	Mesoplasma chauliocola	216427	CHPA-2	Complete Genome	haploid	1
GCF_002804245.1	Mesoplasma coleopterae	324078	BARC 779	Complete Genome	haploid	1
GCF_002749675.1	Mesoplasma entomophilum	2149	TAC	Complete Genome	haploid	1
GCF_002804125.1	Mesoplasma entomophilum	2149	TAC	Complete Genome	haploid	1
GCF_002504365.1	Mesoplasma florum	2151	GF1	Complete Genome	haploid	1
GCF_002504385.1	Mesoplasma florum	2151	PPA1	Complete Genome	haploid	1
GCF_002999255.1	Mesoplasma florum	2151	MouA-2	Complete Genome	haploid	1
GCF_002999275.1	Mesoplasma florum	2151	CnuA-2	Complete Genome	haploid	1
GCF_002999295.1	Mesoplasma florum	2151	W23	Complete Genome	haploid	1
GCF_002999415.1	Mesoplasma florum	2151	MQ3	Complete Genome	haploid	1
GCF_002999435.1	Mesoplasma florum	2151	BARC 787	Complete Genome	haploid	1
GCF_000008305.1	Mesoplasma florum L1	265311	L1; ATCC 33453	Complete Genome	haploid	1
GCF_000479355.1	Mesoplasma florum W37	1406864	W37	Complete Genome	haploid	1
GCF_002441935.1	Mesoplasma lactucae ATCC 49193	81460	831-C4	Complete Genome	haploid	1
GCF_002804225.1	Mesoplasma lactucae ATCC 49193	81460	831-C4	Complete Genome	haploid	1
GCF_002804105.1	Mesoplasma melaleucae	81459	M1	Complete Genome	haploid	1
GCF_002843565.1	Mesoplasma syrphidae	225999	YJS	Complete Genome	haploid	1
GCF_002804025.1	Mesoplasma tabanidae	219745	BARC 857	Complete Genome	haploid	1
GCF_001686985.1	Mesorhizobium amorphae CCNWGS0123	1082933	CCNWGS0123	Complete Genome	haploid	5
GCF_000230995.2	Mesorhizobium australicum WSM2073	754035	WSM2073	Complete Genome	haploid	1
GCF_001618825.1	Mesorhizobium ciceri	39645	CC1192	Complete Genome	haploid	2
GCF_024371385.1	Mesorhizobium ciceri	39645	R30	Complete Genome	haploid	2
GCF_001618845.1	Mesorhizobium ciceri biovar biserrulae	278148	WSM1284	Complete Genome	haploid	2
GCF_000185905.1	Mesorhizobium ciceri biovar biserrulae WSM1271	765698	WSM1271	Complete Genome	haploid	2
GCF_013170725.1	Mesorhizobium erdmanii	1777866	NZP2014	Complete Genome	haploid	1
GCF_034421895.1	Mesorhizobium huakuii	28104	NZP2235	Complete Genome	haploid	2
GCF_014189455.1	Mesorhizobium huakuii	28104	583	Complete Genome	haploid	4
GCF_012913645.1	Mesorhizobium japonicum	2066070	R7Astar	Complete Genome	haploid	1
GCF_012972105.1	Mesorhizobium japonicum	2066070	R7AstarV2	Complete Genome	haploid	1
GCF_012972145.1	Mesorhizobium japonicum	2066070	R7ANSstar	Complete Genome	haploid	1
GCF_000009625.1	Mesorhizobium japonicum MAFF 303099	266835	MAFF 303099	Complete Genome	haploid	3
GCF_012913625.1	Mesorhizobium japonicum R7A	935547	R7A	Complete Genome	haploid	1
GCF_009761735.1	Mesorhizobium japonicum R7A	935547	R7A	Complete Genome	haploid	1
GCF_013170785.1	Mesorhizobium jarvisii	1777867	ATCC 33669	Complete Genome	haploid	3
GCF_013170705.1	Mesorhizobium loti	381	NZP2042	Complete Genome	haploid	1
GCF_013170845.1	Mesorhizobium loti R88b	935548	R88b	Complete Genome	haploid	1
GCF_030272285.1	Mesorhizobium mediterraneum	43617	R31	Complete Genome	haploid	4
GCF_024707545.1	Mesorhizobium onobrychidis	2775404	OM4	Complete Genome	haploid	2
GCF_023380005.1	Mesorhizobium opportunistum	593909	WSM1558	Complete Genome	haploid	1
GCF_000176035.2	Mesorhizobium opportunistum WSM2075	536019	WSM2075	Complete Genome	haploid	1
GCF_016756475.1	Mesorhizobium sp. 113-1-2	2744515	113-1-2	Complete Genome	haploid	1
GCF_016756495.1	Mesorhizobium sp. 113-3-3	2744516	113-3-3	Complete Genome	haploid	3
GCF_016756515.1	Mesorhizobium sp. 113-3-9	2744517	113-3-9	Complete Genome	haploid	1
GCF_016756535.1	Mesorhizobium sp. 131-2-1	2744518	131-2-1	Complete Genome	haploid	2
GCF_016756555.1	Mesorhizobium sp. 131-2-5	2744519	131-2-5	Complete Genome	haploid	5
GCF_016756575.1	Mesorhizobium sp. 131-3-5	2744520	131-3-5	Complete Genome	haploid	3
GCF_006351905.1	Mesorhizobium sp. 8	2584466	8	Complete Genome	haploid	1
GCF_001672375.2	Mesorhizobium sp. AA22	1854057	AA22	Complete Genome	haploid	1
GCF_024746835.1	Mesorhizobium sp. AR02	2865837	AR02	Complete Genome	haploid	4
GCF_024746815.1	Mesorhizobium sp. AR07	2865838	AR07	Complete Genome	haploid	5
GCF_024746795.1	Mesorhizobium sp. AR10	2865839	AR10	Complete Genome	haploid	2
GCF_006442795.2	Mesorhizobium sp. B1-1-8	2589976	B1-1-8	Complete Genome	haploid	2
GCF_006442975.2	Mesorhizobium sp. B2-1-1	2589974	B2-1-1	Complete Genome	haploid	2
GCF_006442545.2	Mesorhizobium sp. B2-1-8	2589967	B2-1-8	Complete Genome	haploid	2
GCF_006440675.2	Mesorhizobium sp. B2-8-5	2589903	B2-8-5	Complete Genome	haploid	1
GCF_006439395.2	Mesorhizobium sp. B4-1-4	2589888	B4-1-4	Complete Genome	haploid	1
GCF_030323105.1	Mesorhizobium sp. C120A	2956824	C120A	Complete Genome	haploid	1
GCF_030323245.1	Mesorhizobium sp. C372A	2956829	C372A	Complete Genome	haploid	1
GCF_030323185.1	Mesorhizobium sp. C399B	2956833	C399B	Complete Genome	haploid	1
GCF_015500075.1	Mesorhizobium sp. INR15	2654248	INR15	Complete Genome	haploid	5
GCF_016591715.1	Mesorhizobium sp. J8	2777475	J8	Complete Genome	haploid	1
GCF_016756595.1	Mesorhizobium sp. L-2-11	2744521	L-2-11	Complete Genome	haploid	5
GCF_016756635.1	Mesorhizobium sp. L-8-10	2744523	L-8-10	Complete Genome	haploid	1
GCF_016756615.1	Mesorhizobium sp. L-8-3	2744522	L-8-3	Complete Genome	haploid	1
GCF_003952465.1	Mesorhizobium sp. M1B.F.Ca.ET.045.04.1.1	2493673	M1B.F.Ca.ET.045.04.1.1	Complete Genome	haploid	1
GCF_003952385.1	Mesorhizobium sp. M1D.F.Ca.ET.043.01.1.1	2493669	M1D.F.Ca.ET.043.01.1.1	Complete Genome	haploid	1
GCF_003952485.1	Mesorhizobium sp. M1E.F.Ca.ET.045.02.1.1	2493672	M1E.F.Ca.ET.045.02.1.1	Complete Genome	haploid	1
GCF_003952405.1	Mesorhizobium sp. M2A.F.Ca.ET.043.02.1.1	2493670	M2A.F.Ca.ET.043.02.1.1	Complete Genome	haploid	1
GCF_003952445.1	Mesorhizobium sp. M2A.F.Ca.ET.043.05.1.1	2493671	M2A.F.Ca.ET.043.05.1.1	Complete Genome	haploid	1
GCF_003952425.1	Mesorhizobium sp. M2A.F.Ca.ET.046.03.2.1	2493674	M2A.F.Ca.ET.046.03.2.1	Complete Genome	haploid	1
GCF_003952525.1	Mesorhizobium sp. M3A.F.Ca.ET.080.04.2.1	2493676	M3A.F.Ca.ET.080.04.2.1	Complete Genome	haploid	1
GCF_003952365.1	Mesorhizobium sp. M9A.F.Ca.ET.002.03.1.2	2493668	M9A.F.Ca.ET.002.03.1.2	Complete Genome	haploid	1
GCF_015500055.1	Mesorhizobium sp. NBSH29	2654249	NBSH29	Complete Genome	haploid	4
GCF_013170745.1	Mesorhizobium sp. NZP2077	2483404	NZP2077	Complete Genome	haploid	2
GCF_013170805.1	Mesorhizobium sp. NZP2077	2483404	NZP2077	Complete Genome	haploid	2
GCF_013170765.1	Mesorhizobium sp. NZP2234	2483402	NZP2234	Complete Genome	haploid	1
GCF_013170825.1	Mesorhizobium sp. NZP2298	2483403	NZP2298	Complete Genome	haploid	1
GCF_020616515.1	Mesorhizobium sp. PAMC28654	2880934	PAMC28654	Complete Genome	haploid	1
GCF_004136315.1	Mesorhizobium sp. Pch-S	2082387	Pch-S	Complete Genome	haploid	1
GCF_031656215.1	Mesorhizobium sp. WR6	3074855	WR6	Complete Genome	haploid	1
GCF_001672455.2	Mesorhizobium sp. WSM1497	278153	WSM1497	Complete Genome	haploid	2
GCF_040438635.1	Mesorhizobium sp. WSM2239	3228852	WSM2239	Complete Genome	haploid	4
GCF_040438645.1	Mesorhizobium sp. WSM2240	3228851	WSM2240	Complete Genome	haploid	4
GCF_029674545.1	Mesorhizobium sp. WSM4904	3038545	WSM4904	Complete Genome	haploid	1
GCF_029674625.1	Mesorhizobium sp. WSM4906	3038546	WSM4906	Complete Genome	haploid	1
GCF_008727715.1	Mesorhizobium terrae	2725666	NIBRBAC000500504	Complete Genome	haploid	2
GCF_030295425.1	Mesoterricola sediminis	2927980	W786	Complete Genome	haploid	1
GCF_030295405.1	Mesoterricola silvestris	2927979	W79	Complete Genome	haploid	1
GCF_900157305.1	Mesotoga infera	1236046		Complete Genome	haploid	1
GCF_000147715.2	Mesotoga prima MesG1.Ag.4.2	660470	mesG1.Ag.4.2	Complete Genome	haploid	2
GCF_019933155.2	Metabacillus dongyingensis	2874282	BY2G20	Complete Genome	haploid	2
GCF_003667825.1	Metabacillus litoralis	152268	Bac94	Complete Genome	haploid	1
GCF_018195715.2	Metabacillus litoralis	152268	NCTR108	Complete Genome	haploid	1
GCF_009720625.1	Metabacillus sediminilitoris	2567941	DSL-17	Complete Genome	haploid	1
GCF_021117275.1	Metabacillus sp. B2-18	2897333	B2-18	Complete Genome	haploid	2
GCF_016839225.1	Metabacillus sp. cB07	2806989	cB07	Complete Genome	haploid	1
GCF_030127205.1	Metabacillus sp. CT-WN-B3	3048891	CT-WN-B3	Complete Genome	haploid	1
GCF_014217835.1	Metabacillus sp. KUDC1714	2745198	KUDC1714	Complete Genome	haploid	1
GCF_900476125.1	Metamycoplasma alkalescens	45363	NCTC10135	Complete Genome	haploid	1
GCF_900660715.1	Metamycoplasma arthritidis	2111	NCTC10162	Complete Genome	haploid	1
GCF_000020065.1	Metamycoplasma arthritidis 158L3-1	243272	158L3-1	Complete Genome	haploid	1
GCF_000828855.1	Metamycoplasma canadense	29554	HAZ360_1	Complete Genome	haploid	1
GCF_003269445.1	Metamycoplasma cloacale	92401	NCTC 10199	Complete Genome	haploid	1
GCF_900660735.1	Metamycoplasma cloacale	92401	NCTC10199	Complete Genome	haploid	1
GCF_030295865.1	Metamycoplasma equirhinis	92402	Myco-7	Complete Genome	haploid	1
GCF_033546855.1	Metamycoplasma equirhinis	92402	M432/72	Complete Genome	haploid	1
GCF_036352135.1	Metamycoplasma gateae	35769	3700	Complete Genome	haploid	1
GCF_000759375.2	Metamycoplasma hominis	2098	TO0613	Complete Genome	haploid	1
GCF_000947915.1	Metamycoplasma hominis	2098	AF1	Complete Genome	haploid	1
GCF_001017595.1	Metamycoplasma hominis	2098	Sprott	Complete Genome	haploid	1
GCF_002952835.1	Metamycoplasma hominis	2098	2539	Complete Genome	haploid	1
GCF_003663725.1	Metamycoplasma hominis	2098	PX1114	Complete Genome	haploid	1
GCF_013367855.1	Metamycoplasma hominis	2098	FBG	Complete Genome	haploid	1
GCF_013367895.1	Metamycoplasma hominis	2098	A136	Complete Genome	haploid	1
GCF_013367915.1	Metamycoplasma hominis	2098	SP2565	Complete Genome	haploid	1
GCF_013367935.1	Metamycoplasma hominis	2098	475	Complete Genome	haploid	1
GCF_013367955.1	Metamycoplasma hominis	2098	SS10	Complete Genome	haploid	1
GCF_013367975.1	Metamycoplasma hominis	2098	SS25	Complete Genome	haploid	1
GCF_013367995.1	Metamycoplasma hominis	2098	VO31120	Complete Genome	haploid	1
GCF_013368015.1	Metamycoplasma hominis	2098	SP10291	Complete Genome	haploid	1
GCF_013368035.1	Metamycoplasma hominis	2098	SP3615	Complete Genome	haploid	1
GCF_013371665.1	Metamycoplasma hominis	2098	8958	Complete Genome	haploid	1
GCF_021460215.1	Metamycoplasma hominis	2098	MIN-132	Complete Genome	haploid	1
GCF_000085865.1	Metamycoplasma hominis ATCC 23114	347256	ATCC 23114	Complete Genome	haploid	1
GCF_000767725.1	Metamycoplasma hominis ATCC 27545	1267000	LBD-4	Complete Genome	haploid	1
GCF_024297005.1	Metamycoplasma hyosynoviae	29559	B1	Complete Genome	haploid	1
GCF_002214445.1	Metamycoplasma hyosynoviae	29559	M60	Complete Genome	haploid	1
GCF_024297025.1	Metamycoplasma hyosynoviae	29559	B4	Complete Genome	haploid	1
GCF_024297045.1	Metamycoplasma hyosynoviae	29559	B7	Complete Genome	haploid	1
GCF_900660435.1	Metamycoplasma orale	2121	NCTC10112	Complete Genome	haploid	5
GCF_003383595.3	Metamycoplasma phocicerebrale	142649	1049	Complete Genome	haploid	1
GCF_900660445.2	Metamycoplasma salivarium	2124	NCTC10113	Complete Genome	haploid	1
GCF_033546815.1	Metamycoplasma subdolum	92407	TB	Complete Genome	haploid	1
GCF_038593115.1	Metasolibacillus sp. FSL H7-0170	2921431	FSL H7-0170	Complete Genome	haploid	1
GCF_038630865.1	Metasolibacillus sp. FSL K6-0083	2921416	FSL K6-0083	Complete Genome	haploid	1
GCF_903064525.1	Methylacidimicrobium sp. AP8	2730359		Complete Genome	haploid	1
GCF_017310545.1	Methylacidimicrobium sp. B4	2796139	B4	Complete Genome	haploid	1
GCF_017310505.1	Methylacidiphilum caldifontis	2795386	IT6	Complete Genome	haploid	1
GCF_000019665.1	Methylacidiphilum infernorum V4	481448	V4	Complete Genome	haploid	1
GCF_007475525.1	Methylacidiphilum kamchatkense Kam1	1202785	kam1	Complete Genome	haploid	1
GCF_000015725.1	Methylibium petroleiphilum PM1	420662	PM1	Complete Genome	haploid	2
GCF_004136295.1	Methylibium sp. Pch-M	2082386	Pch-M	Complete Genome	haploid	1
GCF_000013705.1	Methylobacillus flagellatus KT	265072	KT	Complete Genome	haploid	1
GCF_022788635.1	Methylobacter sp. S3L5C	2839024	S3L5C	Complete Genome	haploid	1
GCF_026727675.1	Methylobacter sp. YRD-M1	2911520	YRD-M1	Complete Genome	haploid	3
GCF_001548015.1	Methylobacterium aquaticum	270351	MA-22A	Complete Genome	haploid	6
GCF_016804325.1	Methylobacterium aquaticum	270351	BG2	Complete Genome	haploid	5
GCF_902712865.1	Methylobacterium bullatum	570505		Complete Genome	haploid	5
GCF_021228015.1	Methylobacterium currus	2051553	TP-3	Complete Genome	haploid	6
GCF_003173715.1	Methylobacterium durans	2202825	17SD2-17	Complete Genome	haploid	1
GCF_039619325.1	Methylobacterium fujisawaense	107400	C14	Complete Genome	haploid	9
GCF_017347565.1	Methylobacterium indicum	1775910	VL1	Complete Genome	haploid	7
GCF_029761955.1	Methylobacterium indicum	1775910	JDJ13	Complete Genome	haploid	1
GCF_000364445.2	Methylobacterium mesophilicum SR1.6/6	908290	SR1.6/6	Complete Genome	haploid	1
GCF_000022085.1	Methylobacterium nodulans ORS 2060	460265	ORS 2060	Complete Genome	haploid	8
GCF_022533465.1	Methylobacterium organophilum	410	WPA_B	Complete Genome	haploid	3
GCF_021398735.1	Methylobacterium oryzae	334852	H33R-06	Complete Genome	haploid	5
GCF_000757795.1	Methylobacterium oryzae CBMB20	693986	CBMB20	Complete Genome	haploid	1
GCF_001936175.1	Methylobacterium phyllosphaerae	418223	CBMB27	Complete Genome	haploid	4
GCF_003173735.1	Methylobacterium radiodurans	2202828	17Sr1-43	Complete Genome	haploid	1
GCF_021484845.1	Methylobacterium radiotolerans	31998	NYY1	Complete Genome	haploid	8
GCF_000019725.1	Methylobacterium radiotolerans JCM 2831	426355	JCM 2831	Complete Genome	haploid	9
GCF_003173775.1	Methylobacterium sp. 17Sr1-1	2202826	17Sr1-1	Complete Genome	haploid	1
GCF_029691625.1	Methylobacterium sp. 391_Methyba4	3038924	391_Methyba4	Complete Genome	haploid	1
GCF_000019365.1	Methylobacterium sp. 4-46	426117	Apr-46	Complete Genome	haploid	3
GCF_001542815.1	Methylobacterium sp. AMS5	925818	AMS5	Complete Genome	haploid	4
GCF_001854385.1	Methylobacterium sp. C1	1479019	C1	Complete Genome	haploid	1
GCF_029714205.1	Methylobacterium sp. CB376	3138063	CB376	Complete Genome	haploid	2
GCF_025813715.1	Methylobacterium sp. FF17	2984843	FF17	Complete Genome	haploid	7
GCF_028583545.1	Methylobacterium sp. NMS14P	2894310	NMS14P	Complete Genome	haploid	3
GCF_008000895.1	Methylobacterium sp. WL1	2603276	WL1	Complete Genome	haploid	2
GCF_003254375.1	Methylobacterium sp. XJLW	739141	XJLW	Complete Genome	haploid	2
GCF_023546765.1	Methylobacterium tardum	374432	DSM 19566	Complete Genome	haploid	2
GCF_003173755.1	Methylobacterium terrae	2202827	17Sr1-28	Complete Genome	haploid	1
GCF_003584645.1	Methylocaldum marinum	1432792	S8	Complete Genome	haploid	1
GCF_949769195.1	Methylocaldum szegediense	73780		Complete Genome	haploid	2
GCF_029855125.1	Methylocapsa sp. D3K7	3041435	D3K7	Complete Genome	haploid	1
GCF_000828475.1	Methyloceanibacter caenitepidi	1384459	Gela4	Complete Genome	haploid	1
GCF_003071365.1	Methyloceanibacter sp. wino2	2170729		Complete Genome	haploid	1
GCF_000021745.1	Methylocella silvestris BL2	395965	BL2	Complete Genome	haploid	1
GCF_038024855.1	Methylocella tundrae	227605	T4	Complete Genome	haploid	3
GCF_900749825.1	Methylocella tundrae	227605		Complete Genome	haploid	3
GCF_019285535.1	Methylococcus capsulatus	414	BH	Complete Genome	haploid	1
GCF_019285555.1	Methylococcus capsulatus	414	KN2	Complete Genome	haploid	1
GCF_019285575.1	Methylococcus capsulatus	414	IO1	Complete Genome	haploid	1
GCF_023370095.1	Methylococcus capsulatus	414	MIR	Complete Genome	haploid	1
GCF_036864975.1	Methylococcus capsulatus	414	VKPM-B-12549 (GBS-15)	Complete Genome	haploid	1
GCF_949769275.1	Methylococcus capsulatus	414		Complete Genome	haploid	1
GCF_000008325.1	Methylococcus capsulatus str. Bath	243233	Bath	Complete Genome	haploid	1
GCF_012769535.1	Methylococcus geothermalis	2681310	IM1	Complete Genome	haploid	1
GCF_026247885.1	Methylococcus mesophilus	2993564	16-5	Complete Genome	haploid	1
GCF_016925495.1	Methylococcus sp. EFPC2	2812648	EFPC2	Complete Genome	haploid	3
GCF_019285515.1	Methylococcus sp. Mc7	2860258	Mc7	Complete Genome	haploid	1
GCF_002117405.1	Methylocystis bryophila	655015	S285	Complete Genome	haploid	2
GCF_027925445.1	Methylocystis bryophila	655015	DSM 21852	Complete Genome	haploid	2
GCF_004802635.2	Methylocystis heyeri	391905	H2	Complete Genome	haploid	3
GCF_027925385.1	Methylocystis iwaonis	2885079	SS37A-Re	Complete Genome	haploid	7
GCF_036324305.1	Methylocystis iwaonis	2885079	SD4	Complete Genome	haploid	5
GCF_009685195.1	Methylocystis parvus	134	BRCS2	Complete Genome	haploid	3
GCF_027571405.1	Methylocystis parvus OBBP	1134912	OBBP	Complete Genome	haploid	3
GCF_003855495.1	Methylocystis rosea	173366	GW6	Complete Genome	haploid	3
GCF_009685175.1	Methylocystis rosea	173366	BRCS1	Complete Genome	haploid	3
GCF_026427715.1	Methylocystis sp. MJC1	2654282	MJC1	Complete Genome	haploid	4
GCF_022370455.1	Methylocystis sp. SB2	743836	SB2	Complete Genome	haploid	1
GCF_000304315.1	Methylocystis sp. SC2	187303	SC2	Complete Genome	haploid	1
GCF_019669985.1	Methylogaea oryzae	1295382	E10	Complete Genome	haploid	1
GCF_013341275.1	Methyloligella sp. GL2	2742204	GL2	Complete Genome	haploid	1
GCF_019670005.1	Methylomagnum ishizawai	1760988	RS11D-Pr	Complete Genome	haploid	8
GCF_033126985.1	Methylomarinovum caldicuralii	438856	IT-9	Complete Genome	haploid	1
GCF_030294985.1	Methylomarinovum tepidoasis	2840183	IN45	Complete Genome	haploid	2
GCF_030717995.2	Methylomarinum sp. Ch1-1	3067653	Ch1-1	Complete Genome	haploid	3
GCF_000785705.2	Methylomonas denitrificans	1538553	FJG1	Complete Genome	haploid	1
GCF_019669905.1	Methylomonas koyamae	702114	Fw12E-Y	Complete Genome	haploid	2
GCF_002441955.1	Methylomonas koyamae	702114	LM6	Complete Genome	haploid	2
GCF_031582845.1	Methylomonas koyamae	702114	MY1	Complete Genome	haploid	1
GCF_000214665.1	Methylomonas methanica MC09	857087	MC09	Complete Genome	haploid	1
GCF_030490285.1	Methylomonas montana	3058963	MW1	Complete Genome	haploid	1
GCF_018734325.1	Methylomonas paludis	1173101	S2AM	Complete Genome	haploid	1
GCF_024360925.2	Methylomonas rapida	2963939	MP1	Complete Genome	haploid	1
GCF_008632455.1	Methylomonas rhizoryzae	2608981	GJ1	Complete Genome	haploid	1
GCF_039904985.1	Methylomonas sp. AM2-LC	3153301	AM2-LC	Complete Genome	haploid	3
GCF_001644685.1	Methylomonas sp. DH-1	1727196	DH-1	Complete Genome	haploid	2
